district,area,production,yield,crop_type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category,yield_calculated,district_encoded,season_encoded,crop_type_encoded
Mehsana,167.41,391.0550754,2335.912283615077,TOTAL GROUNDNUT,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.35300546448088,70.01092896174863,on_time,early,2.3359122836150767,19,0,3
Sabarkantha,541.22,723.0059486,1335.8818014855326,TOTAL GROUNDNUT,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early,1.3358818014855327,27,0,3
Aravalli,461.38,731.316912,1585.0641813689367,TOTAL GROUNDNUT,2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early,1.5850641813689368,3,0,3
Gandhinagar,60.62,202.2673976,3336.6446321346093,TOTAL GROUNDNUT,2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time,3.3366446321346093,12,0,3
Ahmedabad,0.88,1.457364,1656.095454545455,TOTAL GROUNDNUT,2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time,1.6560954545454547,0,0,3
Surendranagar,300.13,784.2340740000001,2612.9812881084863,TOTAL GROUNDNUT,2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time,2.6129812881084864,29,0,3
Porbandar,739.2,1990.14816,2692.3,TOTAL GROUNDNUT,2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early,2.6923,25,0,3
Botad,36.830000000000005,39.372953,1069.0456964431169,TOTAL GROUNDNUT,2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time,1.069045696443117,7,0,3
Anand,0.42,0.7469783999999999,1778.52,TOTAL GROUNDNUT,2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.93060109289617,70.43169398907104,on_time,on_time,1.7785199999999999,2,0,3
Kheda,26.53,44.4880332,1676.8953335846213,TOTAL GROUNDNUT,2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.90819672131148,70.06557377049181,on_time,on_time,1.676895333584621,16,0,3
